"interaction","zone","time","count"
"Egg -> Host",0,4,2
"Egg -> Host",0,8,1
"Egg -> Host",1,61,1
"Faeces -> Egg",0,27,1
"Faeces -> Egg",0,43,1
"Faeces -> Egg",0,47,1
"Faeces -> Egg",1,57,1
"Faeces -> Egg",1,58,1
"Faeces -> Egg",1,62,1
"Faeces -> Host",0,1,3
"Faeces -> Host",0,2,2
"Faeces -> Host",0,3,2
"Faeces -> Host",0,5,1
"Faeces -> Host",0,6,2
"Faeces -> Host",0,7,2
"Faeces -> Host",0,8,2
"Faeces -> Host",0,11,1
"Faeces -> Host",0,13,1
"Faeces -> Host",0,18,2
"Faeces -> Host",0,21,1
"Faeces -> Host",0,29,1
"Faeces -> Host",0,30,1
"Faeces -> Host",0,31,1
"Faeces -> Host",0,32,1
"Faeces -> Host",0,39,1
"Faeces -> Host",0,47,1
"Faeces -> Host",1,43,2
"Faeces -> Host",1,45,1
"Faeces -> Host",1,52,1
"Faeces -> Host",1,53,1
"Faeces -> Host",1,55,2
"Faeces -> Host",1,56,1
"Faeces -> Host",1,57,2
"Faeces -> Host",1,58,2
"Faeces -> Host",1,59,7
"Faeces -> Host[*]",0,3,1
"Faeces -> Host[*]",0,7,1
"Faeces -> Host[*]",0,8,3
"Faeces -> Host[*]",0,11,1
"Faeces -> Host[*]",0,18,3
"Faeces -> Host[*]",0,19,1
"Faeces -> Host[*]",0,20,1
"Faeces -> Host[*]",0,21,1
"Faeces -> Host[*]",0,22,1
"Faeces -> Host[*]",0,23,1
"Faeces -> Host[*]",0,28,1
"Faeces -> Host[*]",0,30,1
"Faeces -> Host[*]",0,31,1
"Faeces -> Host[*]",0,32,1
"Faeces -> Host[*]",0,34,1
"Faeces -> Host[*]",0,39,1
"Faeces -> Host[*]",0,40,1
"Faeces -> Host[*]",0,41,1
"Faeces -> Host[*]",0,43,1
"Faeces -> Host[*]",0,46,1
"Faeces -> Host[*]",0,47,1
"Faeces -> Host[*]",1,43,1
"Faeces -> Host[*]",1,52,2
"Faeces -> Host[*]",1,53,3
"Faeces -> Host[*]",1,54,2
"Faeces -> Host[*]",1,55,1
"Faeces -> Host[*]",1,56,1
"Faeces -> Host[*]",1,57,3
"Faeces -> Host[*]",1,58,1
"Faeces -> Host[*]",1,59,9
"Faeces -> Host[*]",1,61,1
"Faeces -> Host[*]",1,62,1
"Faeces <-> Faeces",1,59,3
"Feed infection",1,38,4
"Feed infection",1,62,2
"Host -> Egg",0,11,1
"Host -> Egg",0,12,1
"Host -> Egg",0,16,2
"Host -> Egg",0,17,1
"Host -> Egg",0,18,3
"Host -> Egg",0,21,2
"Host -> Egg",0,22,2
"Host -> Egg",0,24,3
"Host -> Egg",0,25,3
"Host -> Egg",0,26,2
"Host -> Egg",0,27,1
"Host -> Egg",0,28,5
"Host -> Egg",0,29,2
"Host -> Egg",0,30,3
"Host -> Egg",0,31,8
"Host -> Egg",0,33,2
"Host -> Egg",0,34,1
"Host -> Egg",0,35,1
"Host -> Egg",0,36,1
"Host -> Egg",0,37,3
"Host -> Egg",0,38,4
"Host -> Egg",0,39,1
"Host -> Egg",0,40,2
"Host -> Egg",0,41,2
"Host -> Egg",0,44,3
"Host -> Egg",0,45,2
"Host -> Egg",0,46,1
"Host -> Egg",0,47,1
"Host -> Egg",1,44,3
"Host -> Egg",1,46,2
"Host -> Egg",1,47,2
"Host -> Egg",1,48,11
"Host -> Egg",1,49,13
"Host -> Egg",1,50,11
"Host -> Egg",1,51,10
"Host -> Egg",1,52,8
"Host -> Egg",1,53,4
"Host -> Egg",1,54,7
"Host -> Egg",1,55,3
"Host -> Egg",1,56,11
"Host -> Egg",1,57,14
"Host -> Egg",1,58,9
"Host -> Egg",1,59,10
"Host -> Egg",1,60,10
"Host -> Egg",1,61,13
"Host -> Egg",1,62,2
"Host -> Egg",1,63,6
"Host 0[*]",0,0,18
"Host <-> Host",0,3,1
"Host <-> Host",0,5,2
"Host <-> Host",0,6,1
"Host <-> Host",0,8,1
"Host <-> Host",0,9,5
"Host <-> Host",0,12,1
"Host <-> Host",0,14,2
"Host <-> Host",0,16,3
"Host <-> Host",0,18,1
"Host <-> Host",0,19,1
"Host <-> Host",0,20,1
"Host <-> Host",0,22,1
"Host <-> Host",0,24,1
"Host <-> Host",0,25,1
"Host <-> Host",0,26,3
"Host <-> Host",0,27,2
"Host <-> Host",0,29,1
"Host <-> Host",0,30,1
"Host <-> Host",0,31,2
"Host <-> Host",0,34,1
"Host <-> Host",0,35,1
"Host <-> Host",0,39,1
"Host <-> Host",0,43,3
"Host <-> Host",0,44,1
"Host <-> Host",0,46,1
"Host <-> Host",1,43,1
"Host <-> Host",1,45,1
"Host <-> Host",1,46,2
"Host <-> Host",1,47,6
"Host <-> Host",1,48,6
"Host <-> Host",1,49,2
"Host <-> Host",1,50,2
"Host <-> Host",1,51,2
"Host <-> Host",1,52,5
"Host <-> Host",1,53,5
"Host <-> Host",1,54,3
"Host <-> Host",1,55,6
"Host <-> Host",1,56,8
"Host <-> Host",1,57,5
"Host <-> Host",1,58,5
"Host <-> Host",1,59,17
"Host <-> Host",1,60,1
"Host <-> Host",1,61,2
"Host <-> Host",1,62,2
"Host <-> Host",1,63,5
"Host <-> Host",2,64,3
"marker",0,0,1
"marker",1,0,1
"marker",2,0,1
